text,sentiment,rating,aspects,cmi,structure
khub mone onek bhalo kore bhalo,negative,2,"quality:negative, service:neutral",0.5041933138168593,opinion
kharap bhalo onek bhalo ekdom ekdom dekhlam ekdom khub kore,negative,2,"price:neutral, experience:neutral, delivery:negative",0.48020924360603645,temporal
holo bhalo motamoti chhilo mone khub,negative,2,"price:positive, quality:negative",0.5884731991221708,opinion
quality ta motamoti price ta excellent,positive,4,"quality:neutral, price:positive",0.31127501821126,simple
kore kharap kharap bhalo dekhlam chhilo khub onek motamoti khub,neutral,3,"experience:positive, product:negative, app:neutral",0.6623429956413083,contrast
service ta bad experience ta motamoti,negative,2,"service:negative, experience:neutral",0.4144443582206194,simple
bhalo khub dekhlam kharap chhilo ekdom holo ekdom bhalo,neutral,3,"service:neutral, delivery:neutral, experience:neutral",0.4469387707838728,temporal
kore ekdom onek kharap kore onek use ekdom bhalo ekdom,neutral,3,"app:negative, quality:positive, product:positive",0.6594716123144921,contrast
product ta boring app ta khub kharap,negative,2,"product:negative, app:negative",0.3324891419573479,temporal
dekhlam mone motamoti kharap chhilo ekdom,neutral,3,"experience:neutral, price:neutral",0.5567629157204931,opinion
onek dekhlam dekhlam kore khub use chhilo onek kore use,positive,5,"service:positive, quality:positive, delivery:positive",0.49795768141007046,contrast
dekhlam onek onek bhalo use kore ekdom,negative,2,"price:positive, quality:negative",0.5290281085616504,opinion
chhilo kore onek dekhlam kharap khub dekhlam mone onek use,neutral,3,"experience:neutral, service:negative, product:neutral",0.598935399887202,contrast
price ta average app ta joss,positive,4,"price:neutral, app:positive",0.373912480418936,contrast
service ta average product ta average delivery ta okay,neutral,3,"service:neutral, product:neutral, delivery:neutral",0.4046212603261571,temporal
ekdom chhilo khub chhilo kharap ekdom,positive,5,"delivery:positive, app:positive",0.5761161509675257,opinion
khub kharap ekdom onek motamoti dekhlam use mone use use,neutral,3,"price:neutral, delivery:negative, experience:neutral",0.5313245060236141,temporal
service ta boring product ta average,negative,2,"service:negative, product:neutral",0.32438305484270485,contrast
chhilo bhalo dekhlam chhilo mone motamoti mone mone holo,neutral,3,"price:neutral, quality:negative, delivery:neutral",0.4505840754028528,simple
app ta excellent product ta motamoti,positive,4,"app:positive, product:neutral",0.43194611439114394,opinion
ekdom dekhlam kore holo kharap bhalo,negative,2,"quality:negative, price:neutral",0.48433159937928205,simple
product ta boring experience ta average,negative,2,"product:negative, experience:neutral",0.3316076975257741,opinion
mone ekdom holo holo kharap kore use kore holo,neutral,3,"price:neutral, product:negative, app:positive",0.45086782739371484,simple
holo kore use kharap onek mone use dekhlam motamoti,neutral,3,"experience:positive, product:neutral, delivery:negative",0.4442800912456242,opinion
ekdom kharap mone khub chhilo bhalo onek holo bhalo bhalo,neutral,3,"product:neutral, quality:negative, service:neutral",0.446006214958095,contrast
service ta joss experience ta motamoti quality ta boring,neutral,3,"service:positive, experience:neutral, quality:negative",0.42756378968708014,temporal
bhalo kore kharap mone bhalo motamoti onek bhalo,neutral,3,"experience:positive, app:negative",0.6719689785954369,contrast
motamoti motamoti dekhlam use dekhlam mone dekhlam use kore,neutral,3,"app:neutral, product:negative, price:positive",0.5219650303329989,opinion
dekhlam bhalo dekhlam chhilo kore kore,neutral,3,"price:positive, product:negative",0.5387430743538395,temporal
experience ta motamoti price ta joss,positive,4,"experience:neutral, price:positive",0.42914605983598114,temporal
price ta bad experience ta khub kharap product ta joss,negative,2,"price:negative, experience:negative, product:positive",0.34969487169215935,contrast
quality ta darun delivery ta excellent experience ta bad,positive,4,"quality:positive, delivery:positive, experience:negative",0.332968212282192,contrast
kore chhilo motamoti bhalo bhalo kharap,neutral,3,"quality:neutral, app:neutral",0.5814792159056177,simple
bhalo chhilo use use khub onek kore dekhlam kore dekhlam,neutral,3,"service:positive, quality:negative, experience:negative",0.6115878610053039,contrast
delivery ta khub bhalo app ta average,positive,4,"delivery:positive, app:neutral",0.3667851816769523,contrast
mone kore dekhlam khub mone khub kore holo dekhlam dekhlam,negative,2,"app:neutral, delivery:negative, experience:negative",0.4984590275740557,temporal
product ta joss price ta darun,positive,5,"product:positive, price:positive",0.33721065534323524,contrast
use holo dekhlam holo chhilo khub holo kore holo kharap mone motamoti,neutral,3,"app:negative, service:negative, quality:positive",0.5649775712615797,contrast
kharap mone dekhlam kharap mone khub khub kharap use dekhlam,positive,4,"service:positive, quality:neutral, product:positive",0.4532061104096055,contrast
kore bhalo dekhlam kore kore dekhlam,negative,2,"experience:neutral, price:negative",0.5344066652686362,temporal
holo chhilo chhilo kore onek bhalo kore ekdom holo kharap,positive,4,"delivery:positive, service:neutral, product:positive",0.5930337977995075,temporal
service ta excellent product ta average quality ta okay,positive,4,"service:positive, product:neutral, quality:neutral",0.36045226976941563,simple
use use use bhalo bhalo use bhalo,negative,2,"app:negative, service:negative",0.6273620859461494,temporal
quality ta bad service ta darun experience ta motamoti,neutral,3,"quality:negative, service:positive, experience:neutral",0.315513012992718,temporal
delivery ta average app ta excellent,positive,4,"delivery:neutral, app:positive",0.4243797191391785,opinion
use ekdom mone mone kharap onek,positive,4,"experience:positive, product:neutral",0.5419916529821003,simple
mone dekhlam dekhlam motamoti kore ekdom kore chhilo kore mone,neutral,3,"delivery:positive, quality:negative, experience:neutral",0.5053124935032497,temporal
motamoti kharap use kharap chhilo bhalo kharap,neutral,3,"experience:negative, app:positive",0.5963675566275473,opinion
quality ta motamoti experience ta khub kharap app ta excellent,neutral,3,"quality:neutral, experience:negative, app:positive",0.3071664502523784,simple
product ta average app ta joss,positive,4,"product:neutral, app:positive",0.3668080749073237,simple
dekhlam holo onek kharap khub ekdom chhilo motamoti dekhlam,neutral,3,"service:negative, quality:neutral, price:neutral",0.6000462329042733,opinion
mone ekdom ekdom dekhlam dekhlam use bhalo holo kore dekhlam motamoti,negative,2,"product:negative, delivery:negative, app:positive",0.5894254467593916,opinion
motamoti dekhlam mone bhalo holo khub kore kore use bhalo chhilo,neutral,3,"app:positive, experience:negative, quality:neutral",0.6005720004190443,opinion
ekdom dekhlam kore mone dekhlam bhalo,negative,2,"quality:negative, delivery:negative",0.6697483495126154,temporal
price ta boring experience ta motamoti quality ta joss,neutral,3,"price:negative, experience:neutral, quality:positive",0.32122599980310845,simple
service ta okay product ta khub bhalo,positive,4,"service:neutral, product:positive",0.38160036132810693,simple
ekdom holo bhalo mone motamoti motamoti kore mone mone,negative,2,"experience:negative, quality:negative, delivery:positive",0.6705939244675118,temporal
dekhlam use bhalo dekhlam use khub dekhlam bhalo mone,positive,4,"product:neutral, price:positive, app:positive",0.5730205443074112,simple
experience ta khub kharap app ta average service ta khub kharap,negative,2,"experience:negative, app:neutral, service:negative",0.3625293896599643,contrast
mone mone kharap kore kore motamoti,negative,2,"app:negative, quality:neutral",0.6829566596432479,simple
use kore kharap ekdom kharap chhilo kharap kharap use,negative,2,"price:neutral, delivery:neutral, product:negative",0.5262208031620439,contrast
kharap khub kharap onek kharap ekdom holo use use,positive,4,"service:neutral, delivery:neutral, product:positive",0.45523724397919835,simple
holo mone bhalo kharap holo kore use onek onek ekdom,neutral,3,"delivery:negative, product:positive, quality:negative",0.5492846955646536,opinion
mone kore holo holo use motamoti ekdom khub dekhlam,positive,4,"price:positive, service:positive, quality:neutral",0.6096777936979967,simple
onek motamoti onek bhalo holo kore,negative,2,"price:negative, service:neutral",0.5425453631969008,temporal
ekdom mone holo kore kharap chhilo,positive,4,"price:neutral, product:positive",0.6788472436253912,simple
service ta darun app ta khub kharap delivery ta okay,neutral,3,"service:positive, app:negative, delivery:neutral",0.37486097678113994,temporal
service ta bad quality ta joss,positive,4,"service:negative, quality:positive",0.3842129928442625,temporal
holo kore use use holo bhalo bhalo kharap mone,neutral,3,"experience:neutral, quality:negative, service:positive",0.5221360189682803,contrast
onek mone holo onek kharap onek khub khub ekdom,negative,2,"service:negative, app:neutral, experience:negative",0.4655956243494692,contrast
mone bhalo kharap khub onek holo bhalo ekdom chhilo,positive,4,"service:positive, quality:neutral, price:neutral",0.6187069535470544,contrast
use mone kore khub khub mone kore,negative,2,"experience:neutral, service:negative",0.6084901332109338,contrast
product ta excellent quality ta okay,positive,4,"product:positive, quality:neutral",0.3085411330737173,opinion
app ta joss product ta bad service ta darun,positive,4,"app:positive, product:negative, service:positive",0.4294723502767157,opinion
experience ta khub bhalo price ta average app ta bad,neutral,3,"experience:positive, price:neutral, app:negative",0.3002879314896998,opinion
kore khub mone ekdom dekhlam holo,neutral,3,"delivery:neutral, price:neutral",0.563315766951928,temporal
experience ta okay price ta khub kharap,negative,2,"experience:neutral, price:negative",0.3311741499441965,contrast
khub ekdom kharap onek khub onek,positive,4,"delivery:positive, app:positive",0.5233693920051883,contrast
kharap khub kore dekhlam holo chhilo use,positive,4,"experience:positive, service:positive",0.44226230131419625,simple
chhilo khub motamoti motamoti kore mone,neutral,3,"quality:neutral, service:neutral",0.5285762362042516,contrast
holo motamoti holo ekdom dekhlam bhalo,positive,4,"delivery:positive, app:neutral",0.577518090022447,temporal
onek chhilo dekhlam kore dekhlam onek kharap motamoti bhalo,neutral,3,"experience:positive, price:negative, app:positive",0.43342785385231025,contrast
bhalo chhilo chhilo khub motamoti ekdom ekdom,negative,1,"delivery:negative, price:negative",0.5749511540713443,opinion
ekdom dekhlam holo dekhlam ekdom use,neutral,3,"price:negative, quality:positive",0.4592159565818237,contrast
kharap bhalo dekhlam onek mone ekdom holo ekdom motamoti dekhlam,neutral,3,"price:positive, quality:positive, delivery:negative",0.4232248822138258,contrast
mone khub bhalo kore mone mone,negative,2,"delivery:negative, price:neutral",0.47082144203437737,opinion
motamoti mone chhilo onek motamoti ekdom,positive,4,"experience:positive, product:negative",0.61890175353157,temporal
bhalo onek kharap kharap onek bhalo,positive,4,"delivery:positive, service:neutral",0.6196101113637185,simple
motamoti motamoti kharap use onek mone,neutral,3,"product:neutral, price:neutral",0.5296331770563872,opinion
use chhilo bhalo use use chhilo,neutral,3,"app:neutral, experience:neutral",0.4901337448146553,temporal
ekdom motamoti kore kharap chhilo kharap motamoti,positive,5,"experience:positive, quality:positive",0.4309632971712802,opinion
use onek khub kore chhilo use kharap use khub kore onek,neutral,3,"experience:neutral, quality:positive, product:negative",0.5885356929447909,simple
kore use holo chhilo kore dekhlam motamoti dekhlam kore use,neutral,3,"quality:negative, delivery:neutral, product:neutral",0.5965716663347167,contrast
khub chhilo kharap kore kore khub khub kore holo onek,neutral,3,"app:neutral, experience:negative, product:positive",0.5101057055708982,contrast
quality ta boring price ta average delivery ta khub kharap,negative,2,"quality:negative, price:neutral, delivery:negative",0.3013229441178556,opinion
bhalo motamoti kore kore ekdom chhilo,neutral,3,"price:neutral, experience:neutral",0.4461421446044036,contrast
kharap bhalo dekhlam kore use onek holo dekhlam,negative,2,"delivery:negative, experience:negative",0.6628715512693496,opinion
dekhlam khub ekdom kharap kharap khub,negative,2,"product:negative, experience:neutral",0.5442151954521941,opinion
delivery ta bad product ta motamoti,negative,2,"delivery:negative, product:neutral",0.39202529424123544,simple
product ta bad delivery ta motamoti experience ta okay,negative,2,"product:negative, delivery:neutral, experience:neutral",0.3217357423618103,opinion
holo khub khub chhilo dekhlam ekdom,neutral,3,"product:neutral, price:neutral",0.587928486448988,simple
mone mone chhilo chhilo ekdom ekdom bhalo chhilo dekhlam ekdom kore,negative,2,"price:negative, quality:neutral, app:negative",0.6799735582411481,temporal
price ta joss service ta joss delivery ta motamoti,positive,4,"price:positive, service:positive, delivery:neutral",0.36590648673755743,simple
use kharap chhilo onek mone kharap motamoti,positive,4,"quality:positive, product:neutral",0.4895619670948393,simple
motamoti dekhlam chhilo dekhlam holo chhilo onek kharap dekhlam,neutral,3,"service:neutral, product:negative, experience:positive",0.6074072663348433,opinion
product ta darun price ta average app ta joss,positive,4,"product:positive, price:neutral, app:positive",0.3026475471540112,temporal
product ta boring price ta darun quality ta okay,neutral,3,"product:negative, price:positive, quality:neutral",0.3168931657755351,temporal
quality ta khub bhalo price ta excellent experience ta boring,positive,4,"quality:positive, price:positive, experience:negative",0.3496707697326331,temporal
bhalo holo chhilo bhalo bhalo kharap khub chhilo mone onek,neutral,3,"product:positive, quality:neutral, experience:negative",0.6473383672771201,temporal
dekhlam onek use mone mone kharap,neutral,3,"experience:negative, quality:positive",0.5977840865092698,contrast
motamoti bhalo chhilo kore mone kharap,positive,4,"delivery:positive, price:neutral",0.6894319615523498,simple
khub holo bhalo holo chhilo mone holo chhilo chhilo,positive,4,"app:neutral, delivery:positive, quality:neutral",0.5965728638329812,simple
product ta bad price ta average,negative,2,"product:negative, price:neutral",0.4249838701359128,opinion
ekdom motamoti onek onek khub onek use holo motamoti use,negative,2,"experience:negative, delivery:neutral, price:negative",0.40535639373866056,simple
holo holo mone bhalo kore motamoti,neutral,3,"price:neutral, service:neutral",0.6182606997390436,opinion
experience ta okay service ta motamoti product ta darun,neutral,3,"experience:neutral, service:neutral, product:positive",0.39823464392734986,temporal
dekhlam kore khub dekhlam kore motamoti onek ekdom holo onek,positive,4,"quality:neutral, price:positive, experience:positive",0.6158679360256736,temporal
price ta average product ta average,neutral,3,"price:neutral, product:neutral",0.33610013108349557,contrast
motamoti onek dekhlam kharap khub holo use holo use,neutral,3,"product:negative, experience:positive, quality:neutral",0.6705988879238469,temporal
khub mone motamoti chhilo mone use kore,neutral,3,"delivery:positive, service:negative",0.6093437281846673,simple
service ta bad price ta okay,negative,2,"service:negative, price:neutral",0.35289530148523385,simple
service ta bad product ta motamoti,negative,2,"service:negative, product:neutral",0.42692695471720565,opinion
kharap dekhlam ekdom onek use kore,neutral,3,"service:neutral, delivery:neutral",0.6704948169889628,contrast
holo bhalo khub motamoti kharap holo,positive,4,"price:positive, experience:positive",0.6549470792074733,opinion
kharap holo khub bhalo holo dekhlam onek mone use,neutral,3,"app:positive, experience:neutral, product:negative",0.44361770351386154,opinion
price ta darun service ta excellent app ta okay,positive,4,"price:positive, service:positive, app:neutral",0.3023388278333361,simple
product ta average app ta boring,negative,2,"product:neutral, app:negative",0.4211199927881341,temporal
dekhlam kore chhilo kharap onek dekhlam dekhlam holo holo kore kore,neutral,3,"experience:positive, service:positive, delivery:negative",0.3836917921337997,temporal
holo khub motamoti chhilo mone onek ekdom kharap bhalo,neutral,3,"experience:positive, product:negative, price:positive",0.542299602902489,temporal
ekdom ekdom onek ekdom mone kore kharap khub khub,neutral,3,"app:negative, quality:positive, service:positive",0.6672080230990329,temporal
mone kore ekdom holo use ekdom ekdom,negative,2,"experience:negative, service:negative",0.40390258320268846,opinion
use holo holo motamoti holo mone ekdom khub kore,neutral,3,"price:neutral, quality:negative, app:positive",0.5844602270654224,opinion
app ta khub kharap delivery ta boring product ta boring,negative,1,"app:negative, delivery:negative, product:negative",0.3769706933354387,simple
motamoti use use motamoti chhilo ekdom ekdom,negative,1,"experience:negative, quality:negative",0.6849507064192699,opinion
dekhlam ekdom use bhalo onek bhalo,positive,4,"service:neutral, delivery:positive",0.4629975158975759,opinion
dekhlam khub bhalo chhilo mone motamoti,negative,2,"experience:negative, product:neutral",0.6535726448360114,opinion
mone holo holo onek bhalo kore ekdom,positive,5,"product:positive, app:positive",0.6233657977515743,opinion
service ta khub kharap price ta average delivery ta motamoti,negative,2,"service:negative, price:neutral, delivery:neutral",0.37784325580211225,simple
app ta bad product ta darun,negative,2,"app:negative, product:positive",0.43168985340239363,simple
holo use use bhalo mone kore,neutral,3,"delivery:neutral, quality:neutral",0.4894306100558018,simple
motamoti onek kharap motamoti onek dekhlam kharap mone ekdom motamoti kharap motamoti,neutral,3,"price:positive, service:positive, experience:negative",0.4421564859777897,simple
ekdom mone chhilo ekdom chhilo kharap mone,positive,4,"experience:positive, service:neutral",0.43535331170592934,temporal
onek onek mone holo holo use kore khub chhilo,neutral,3,"app:neutral, quality:negative, experience:positive",0.4808320279811866,contrast
bhalo chhilo khub mone ekdom khub kharap mone holo,neutral,3,"product:neutral, experience:negative, app:positive",0.4715171896521182,opinion
use bhalo holo dekhlam khub motamoti kharap,negative,2,"delivery:negative, product:negative",0.6820387062537296,temporal
kore bhalo holo dekhlam onek chhilo khub use khub,neutral,3,"app:neutral, delivery:neutral, product:negative",0.4803743933583471,simple
bhalo onek motamoti dekhlam holo motamoti use bhalo khub kharap mone,positive,4,"experience:neutral, product:positive, app:positive",0.6282106196646446,opinion
chhilo khub holo holo bhalo onek use ekdom kharap ekdom,negative,2,"product:positive, experience:negative, quality:negative",0.4112505773232539,contrast
holo kharap holo onek dekhlam onek ekdom ekdom kore,neutral,3,"quality:neutral, experience:negative, service:positive",0.5859453483499839,opinion
app ta excellent quality ta okay delivery ta bad,neutral,3,"app:positive, quality:neutral, delivery:negative",0.30256812270589317,contrast
delivery ta bad experience ta bad app ta darun,neutral,3,"delivery:negative, experience:negative, app:positive",0.37456001551165335,contrast
dekhlam holo dekhlam kharap khub use bhalo ekdom,negative,2,"quality:negative, product:negative",0.38037633913452046,temporal
service ta boring quality ta bad,negative,2,"service:negative, quality:negative",0.30125164385492026,temporal
dekhlam onek kore chhilo kore bhalo,positive,5,"app:positive, service:positive",0.5956818539279471,contrast
khub kharap chhilo dekhlam holo onek kore kharap khub ekdom,neutral,3,"delivery:positive, app:neutral, service:negative",0.6233789927761777,opinion
quality ta average app ta excellent experience ta khub kharap,neutral,3,"quality:neutral, app:positive, experience:negative",0.33892782667547666,temporal
chhilo mone khub bhalo bhalo bhalo bhalo,negative,2,"experience:neutral, app:negative",0.5783822103811553,opinion
onek khub bhalo bhalo ekdom onek,negative,2,"delivery:negative, price:neutral",0.6177374857451885,temporal
quality ta darun app ta excellent,positive,5,"quality:positive, app:positive",0.355942018559788,opinion
price ta boring service ta khub kharap experience ta khub bhalo,negative,2,"price:negative, service:negative, experience:positive",0.35666693240317465,contrast
onek kharap motamoti onek khub bhalo,positive,4,"price:positive, experience:positive",0.5199394442289095,opinion
ekdom onek onek holo ekdom dekhlam,neutral,3,"quality:positive, delivery:negative",0.5115840475228435,contrast
app ta average delivery ta khub kharap service ta khub kharap,negative,2,"app:neutral, delivery:negative, service:negative",0.3660452502230307,simple
onek onek chhilo onek onek motamoti,negative,2,"app:negative, service:neutral",0.49186237900795093,simple
product ta joss service ta excellent price ta bad,positive,4,"product:positive, service:positive, price:negative",0.41934025989142876,simple
holo ekdom dekhlam dekhlam holo kharap bhalo,positive,5,"service:positive, app:positive",0.4968184477017653,simple
kore motamoti motamoti mone holo chhilo khub,negative,2,"product:neutral, experience:negative",0.5713241274053924,opinion
service ta average delivery ta okay,neutral,3,"service:neutral, delivery:neutral",0.3987874547238376,simple
motamoti ekdom dekhlam kharap khub kharap,positive,4,"delivery:positive, experience:neutral",0.663392789979344,contrast
bhalo dekhlam ekdom onek dekhlam kharap holo use onek,neutral,3,"price:negative, app:neutral, service:neutral",0.4676016644351564,temporal
holo kore use motamoti bhalo kharap,positive,4,"app:neutral, delivery:positive",0.5149554778853582,simple
kore holo kharap kore kore onek use onek mone bhalo,neutral,3,"product:positive, quality:negative, app:neutral",0.6306248993085386,temporal
holo mone khub dekhlam bhalo kore use bhalo chhilo use,positive,4,"app:negative, service:positive, experience:positive",0.588537385454329,contrast
mone kore holo motamoti onek bhalo bhalo bhalo,positive,4,"product:positive, service:positive",0.35988688995068574,temporal
chhilo mone kharap onek kharap bhalo onek use mone mone bhalo,positive,4,"delivery:positive, product:positive, service:positive",0.39613406142344476,simple
chhilo bhalo bhalo kharap dekhlam bhalo,neutral,3,"app:neutral, quality:neutral",0.6759317878602928,opinion
product ta excellent quality ta bad service ta boring,neutral,3,"product:positive, quality:negative, service:negative",0.3457305737685414,opinion
holo mone dekhlam use holo khub,neutral,3,"price:neutral, product:neutral",0.6951242971452397,contrast
app ta boring experience ta okay,negative,2,"app:negative, experience:neutral",0.30567471131833274,opinion
kharap ekdom holo holo onek kore,neutral,3,"quality:positive, service:negative",0.6952954424934356,opinion
khub holo khub kore use kharap khub use dekhlam ekdom bhalo,neutral,3,"app:positive, price:negative, delivery:positive",0.5534100605371695,opinion
app ta joss experience ta darun,positive,4,"app:positive, experience:positive",0.41876900253840954,contrast
experience ta motamoti service ta khub kharap delivery ta joss,neutral,3,"experience:neutral, service:negative, delivery:positive",0.342830661361919,temporal
use use onek kharap motamoti dekhlam chhilo holo chhilo,neutral,3,"product:neutral, delivery:neutral, app:positive",0.494606917975,opinion
experience ta joss service ta excellent price ta khub kharap,positive,4,"experience:positive, service:positive, price:negative",0.3668996211571982,simple
mone kore khub bhalo chhilo bhalo holo dekhlam onek,neutral,3,"price:negative, quality:neutral, service:positive",0.6163585489568557,temporal
motamoti khub kore motamoti chhilo holo motamoti chhilo bhalo mone,neutral,3,"experience:positive, service:negative, quality:neutral",0.49733464970789043,contrast
dekhlam onek chhilo motamoti kharap motamoti mone kore onek dekhlam,neutral,3,"experience:negative, service:positive, quality:neutral",0.6120084238058474,temporal
delivery ta boring product ta bad,negative,2,"delivery:negative, product:negative",0.3680930296036973,simple
use chhilo bhalo onek kore ekdom,negative,2,"product:neutral, service:negative",0.43362165993698487,simple
motamoti onek use bhalo khub chhilo onek,negative,2,"quality:negative, product:neutral",0.5310336820513379,simple
holo kharap holo kore khub chhilo ekdom chhilo khub,positive,4,"service:positive, app:neutral, delivery:positive",0.6983657024295721,simple
motamoti ekdom onek use kore chhilo,positive,4,"service:positive, app:neutral",0.576237160954796,simple
onek kharap dekhlam mone use use mone use use,positive,4,"product:positive, app:positive, delivery:neutral",0.5670142117143264,opinion
mone kharap kore dekhlam dekhlam kore ekdom chhilo,neutral,3,"delivery:negative, experience:positive",0.6736935635784932,contrast
motamoti mone khub kharap motamoti ekdom,negative,2,"price:negative, quality:negative",0.6206383558128914,temporal
ekdom use khub khub dekhlam motamoti khub,positive,4,"product:positive, quality:positive",0.655007453416065,simple
kharap khub motamoti dekhlam chhilo kore,positive,4,"product:positive, quality:neutral",0.6992355236184975,opinion
holo use dekhlam use ekdom onek,positive,4,"delivery:positive, quality:negative",0.630871540203978,contrast
bhalo ekdom bhalo motamoti motamoti mone use mone kore holo,positive,4,"quality:positive, app:negative, product:positive",0.5284330528813636,simple
service ta okay product ta average delivery ta average,neutral,3,"service:neutral, product:neutral, delivery:neutral",0.36412512769789074,simple
ekdom kharap use chhilo kore motamoti kharap chhilo khub,positive,4,"product:positive, price:negative, delivery:positive",0.5628237328715913,contrast
use onek bhalo motamoti onek chhilo mone,negative,2,"quality:negative, service:negative",0.6477835179390777,simple
service ta motamoti experience ta darun quality ta bad,neutral,3,"service:neutral, experience:positive, quality:negative",0.33978661402268884,temporal
motamoti dekhlam bhalo mone kharap ekdom,positive,4,"delivery:neutral, service:positive",0.6756819513967426,temporal
quality ta khub kharap app ta joss price ta boring,neutral,3,"quality:negative, app:positive, price:negative",0.3761594708008499,simple
kharap chhilo mone kore bhalo mone dekhlam,negative,2,"product:negative, experience:negative",0.4880461637718472,opinion
ekdom holo dekhlam motamoti onek kharap mone,negative,2,"experience:neutral, quality:negative",0.4163720943567868,temporal
motamoti chhilo use motamoti bhalo kharap holo use chhilo ekdom dekhlam,neutral,3,"product:positive, price:negative, experience:neutral",0.4132358887835337,contrast
experience ta average quality ta bad,negative,2,"experience:neutral, quality:negative",0.3146038839860051,opinion
service ta joss app ta okay,positive,4,"service:positive, app:neutral",0.4287351830642581,opinion
chhilo mone bhalo khub use chhilo use kharap,neutral,3,"delivery:negative, quality:positive",0.5079756073598526,simple
kharap kore onek dekhlam kharap holo ekdom chhilo chhilo,positive,4,"app:neutral, price:positive, product:neutral",0.44690992124229945,temporal
ekdom bhalo khub mone khub use,neutral,3,"price:negative, quality:positive",0.6082979132832261,contrast
experience ta joss product ta joss,positive,4,"experience:positive, product:positive",0.42569462089978294,temporal
chhilo bhalo dekhlam motamoti onek kore kore,negative,2,"app:negative, price:negative",0.6622898995467134,contrast
onek khub bhalo ekdom kore kore,positive,4,"service:neutral, delivery:positive",0.5260159829722075,contrast
kharap motamoti motamoti holo bhalo dekhlam motamoti kharap kore,negative,2,"product:neutral, quality:negative, price:neutral",0.5517888318266992,temporal
mone holo kore kharap holo kharap,negative,2,"quality:neutral, product:negative",0.5795118993893023,temporal
onek khub ekdom onek kharap onek mone holo khub,positive,4,"quality:positive, app:positive, experience:negative",0.4859690809435514,opinion
motamoti bhalo use onek dekhlam dekhlam use chhilo use holo kore,neutral,3,"service:negative, app:negative, delivery:positive",0.5139940801101105,temporal
quality ta average price ta average delivery ta okay,neutral,3,"quality:neutral, price:neutral, delivery:neutral",0.3842549578316222,contrast
service ta boring quality ta bad delivery ta darun,neutral,3,"service:negative, quality:negative, delivery:positive",0.42161309210009285,temporal
mone use motamoti kharap use kore chhilo kore bhalo,positive,4,"app:positive, quality:negative, delivery:positive",0.6958720959267573,temporal
